id,series,agent,round,human_phatic,human_meta,human_lead,human_arch,human_agree,human_comp,human_comp_level,gemini_phatic,gemini_meta,gemini_lead,gemini_arch,gemini_agree,gemini_comp,sonnet_phatic,sonnet_meta,sonnet_lead,sonnet_arch,sonnet_agree,sonnet_comp
A-run07|Agent-H|R10,A,LLaMA 4 Scout,10,true,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0
A-run15|Agent-H|R9,A,LLaMA 4 Scout,9,true,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0
A-run05|Agent-E|R3,A,Kimi K2,3,,,,true,,,,0,0,0,1,0,0,0,0,0,1,1,0
A-run08|Agent-C|R0,A,GPT-OSS 20B,0,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
A-run13|Agent-A|R3,A,LLaMA 3.3 70B,3,,,,,true,,,0,0,0,0,0,0,0,0,0,0,1,0
A-run16|Agent-H|R2,A,LLaMA 4 Scout,2,,true,,true,,,,0,1,0,1,0,0,0,0,0,1,0,0
A-run02|Agent-F|R4,A,Qwen3 32B,4,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
A-run14|Agent-H|R10,A,LLaMA 4 Scout,10,,true,,,,,,0,1,0,0,1,0,0,0,0,0,0,0
A-run09|Agent-B|R7,A,GPT-OSS 120B,7,,true,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
A-run15|Agent-C|R2,A,GPT-OSS 20B,2,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
A-run20|Agent-B|R0,A,GPT-OSS 120B,0,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
A-run20|Agent-D|R9,A,LLaMA 4 Maverick,9,,true,true,true,,,,0,1,1,1,0,0,0,1,1,1,0,0
A-run04|Agent-H|R3,A,LLaMA 4 Scout,3,,true,true,,,,,0,1,1,0,0,0,0,1,0,0,0,0
A-run11|Agent-A|R10,A,LLaMA 3.3 70B,10,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
A-run10|Agent-C|R7,A,GPT-OSS 20B,7,,,true,true,,true,L1,0,0,1,0,0,0,0,0,0,1,0,0
A-run18|Agent-A|R6,A,LLaMA 3.3 70B,6,,,true,,,,,0,0,0,1,0,0,0,0,0,1,0,0
A-run08|Agent-D|R3,A,LLaMA 4 Maverick,3,,true,true,,,false,,0,1,1,0,0,0,0,0,0,0,0,0
A-run12|Agent-E|R6,A,Kimi K2,6,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
A-run06|Agent-F|R5,A,Qwen3 32B,5,,,,true,,true,,0,0,0,1,0,0,0,0,0,1,0,0
A-run13|Agent-E|R5,A,Kimi K2,5,,,,true,,,,0,0,0,0,0,0,0,0,0,0,0,0
A-run06|Agent-H|R9,A,LLaMA 4 Scout,9,,true,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
A-run15|Agent-C|R5,A,GPT-OSS 20B,5,,,true,true,true,true,,0,0,1,1,1,0,0,0,0,0,0,0
A-run09|Agent-F|R0,A,Qwen3 32B,0,,,,true,,true,,0,0,0,1,0,0,0,0,0,1,0,0
A-run04|Agent-H|R5,A,LLaMA 4 Scout,5,,true,,true,,,,0,1,0,1,0,0,0,1,0,1,0,0
A-run05|Agent-B|R10,A,GPT-OSS 120B,10,,,true,true,,,,0,0,1,1,0,0,0,0,0,0,0,0
A-run20|Agent-F|R9,A,Qwen3 32B,9,,true,true,true,,,,0,1,0,1,1,0,0,1,0,1,0,0
A-run17|Agent-F|R10,A,Qwen3 32B,10,,,,true,true,,,0,0,0,0,0,0,0,0,0,0,1,0
A-run12|Agent-H|R9,A,LLaMA 4 Scout,9,,true,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
A-run20|Agent-H|R3,A,LLaMA 4 Scout,3,,true,,true,,,,0,1,0,1,0,0,0,1,0,1,0,0
A-run20|Agent-D|R6,A,LLaMA 4 Maverick,6,,true,,true,,,,0,1,0,1,0,0,0,1,0,1,0,0
A-run12|Agent-E|R3,A,Kimi K2,3,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
A-run19|Agent-B|R7,A,GPT-OSS 120B,7,,,,true,,,,0,0,0,1,0,0,0,0,0,1,0,0
A-run16|Agent-D|R10,A,LLaMA 4 Maverick,10,,true,,,,,,0,1,0,0,0,0,0,0,0,0,0,0
A-run01|Agent-F|R10,A,Qwen3 32B,10,,,true,true,,,,0,0,1,1,0,0,0,0,1,0,0,0
A-run05|Agent-B|R2,A,GPT-OSS 120B,2,,false,true,,,,,0,0,0,0,0,0,0,0,0,0,0,0
A-run06|Agent-D|R4,A,LLaMA 4 Maverick,4,,,,true,,,,0,0,0,1,0,0,0,0,0,0,0,0
A-run04|Agent-F|R3,A,Qwen3 32B,3,,true,,,true,,,0,0,0,0,0,0,0,0,0,0,0,0
A-run09|Agent-A|R9,A,LLaMA 3.3 70B,9,,,,,true,,,0,0,0,0,0,0,0,0,0,0,0,0
A-run15|Agent-B|R9,A,GPT-OSS 120B,9,,,true,true,,,,0,0,1,1,0,0,0,0,1,0,0,0
A-run17|Agent-A|R9,A,LLaMA 3.3 70B,9,,,,true,true,true,,0,0,0,0,0,0,0,0,0,1,1,0
A-run16|Agent-A|R3,A,LLaMA 3.3 70B,3,,true,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
A-run08|Agent-C|R2,A,GPT-OSS 20B,2,,,,true,,,,0,0,0,1,0,0,0,0,0,0,0,0
A-run19|Agent-C|R3,A,GPT-OSS 20B,3,,,true,true,,,,0,0,1,1,0,0,0,0,1,1,0,0
2026-03-04-00h40-SA-run1|Agent-H|R10,A,LLaMA 4 Scout,10,true,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0
A-run18|Agent-F|R3,A,Qwen3 32B,3,,,,true,,,,0,0,0,1,0,0,0,0,0,0,0,0
A-run05|Agent-C|R10,A,GPT-OSS 20B,10,,,true,true,,false,,0,0,1,1,0,0,0,0,1,0,0,0
A-run14|Agent-H|R4,A,LLaMA 4 Scout,4,,true,,,,,,0,0,0,0,0,0,0,1,0,0,0,0
A-run03|Agent-H|R8,A,LLaMA 4 Scout,8,,true,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
A-run04|Agent-F|R4,A,Qwen3 32B,4,,true,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-04-00h40-SA-run1|Agent-A|R8,A,LLaMA 3.3 70B,8,,,true,,true,,,0,0,1,0,0,0,0,0,1,0,1,0
A-run08|Agent-E|R5,A,Kimi K2,5,,true,,,,,,0,1,0,0,0,0,0,1,0,0,0,0
A-run05|Agent-D|R10,A,LLaMA 4 Maverick,10,,,,true,true,,,0,0,0,1,1,0,0,0,0,0,1,0
A-run03|Agent-H|R3,A,LLaMA 4 Scout,3,,,true,true,,,,0,0,1,1,0,0,0,0,1,0,0,0
